KERNEL ACCESS L1_MISS L2_MISS
2mm 4970640004 1813422950 207410554
3mm 8102590009 3038263352 338150302
adi 10463034025 1776833503 499097665
atax 27932100 1618499 499514
bicg 31924000 1498969 499752
cholesky 4004001010 167777140 165092872
correlation 3039729614 2012891120 126107628
covariance 3037084202 2012820299 125897173
deriche 141557770 40919044 7741276
doitgen 1622880002 554355383 423222
durbin 13997003 257280 752
fdtd-2d 8390203014 599700505 524850505
floyd-warshall 87815915352 1372492822 1372950217
gemm 5282200000 165287500 165425000
gemver 48010011 6285838 1502748
gesummv 13525200 497356 423105
gramschmidt 5040600012 2881290602 89833043
heat-3d 13144315014 839039005 424800504
jacobi-1d 7992001 501 501
jacobi-2d 10108824007 843702005 422176005
lu 8001997008 2731538317 334134580
ludcmp 5347339014 2735133002 334637646
mvt 24004000 4785081 1001673
nussinov 7846852516 2496967435 161425927
seidel-2d 19960020001 749250001 250000001
symm 3601200008 1220932722 149729758
syr2k 4325041206 1469535122 179682193
syrk 2883841206 694668610 89050192
trisolv 6005000 252344 251743
trmm 1800600004 1089421816 74197242
