KERNEL ACCESS L1_MISS L2_MISS
2mm 44231410 1856821 28410
3mm 68511913 2878540 38540
adi 82527428 6510711 2187665
atax 1119710 20141 20193
bicg 1280000 20190 20239
cholesky 32160208 1362372 10202
correlation 23053934 9056380 15063
covariance 22956842 9049545 15031
deriche 5529610 1598390 297762
doitgen 21960004 67341 15459
durbin 558611 153 153
fdtd-2d 66808614 4194103 1375479
floyd-warshall 500000002 7811147 15626
gemm 42328000 1331500 18100
gemver 1922011 210171 35742
gesummv 501000 15722 15722
gramschmidt 40344012 12022614 15722
heat-3d 87799014 5855805 17358
jacobi-1d 318401 101 101
jacobi-2d 73804807 3112803 15628
lu 64079410 8734322 20002
ludcmp 43227814 8777465 36997
mvt 960800 189919 27748
nussinov 64119019 1656910 8285
seidel-2d 158404001 2000001 2000001
symm 28848012 5957692 14604
syr2k 34761850 2266423 15723
syrk 23193842 721209 9721
trisolv 241002 10302 10301
trmm 14424006 1920136 8576
