KERNEL ACCESS L1_MISS L2_MISS
2mm 908410 8359 1940
3mm 1628313 38447 2915
adi 2849388 140088 1763
atax 100812 1845 1845
bicg 115312 1860 1860
cholesky 878468 23825 962
correlation 1035054 36584 1825
covariance 1021882 35542 1811
deriche 393226 113222 6147
doitgen 1395004 1994 1993
durbin 49991 48 48
fdtd-2d 2638654 167243 1807
floyd-warshall 23328002 363357 2026
gemm 1352400 43125 1825
gemver 173411 5415 1922
gesummv 65160 2062 2062
gramschmidt 1346412 12619 1642
heat-3d 3732534 145644 1987
jacobi-1d 37761 31 31
jacobi-2d 3717127 160323 2028
lu 1735030 65207 1801
ludcmp 1202754 67137 1847
mvt 86640 3597 1860
nussinov 3124459 52502 1180
seidel-2d 5569601 72001 1801
symm 868812 29090 1470
syr2k 1172890 38949 1642
syrk 784082 6230 1041
trisolv 21902 992 991
trmm 434406 6617 862
