KERNEL ACCESS L1_MISS L2_MISS
2mm 6626640000 1864050400 207851200
3mm 10802590000 3038265000 339450400
adi 11957038000 1757215000 499094154
atax 31924000 1999301 500464
bicg 31924000 1500028 500802
cholesky 5339333000 167778427 165005660
correlation 4056012600 2012820747 126189302
covariance 4049046600 2012820298 125978840
deriche 176947200 40919038 7741280
doitgen 2160480000 68334003 423220
durbin 13997001 268631 750
fdtd-2d 8390203000 599700500 524850500
floyd-warshall 153664000000 1371999650 1371967934
gemm 5282200000 165888000 165888000
gemver 56006000 6501499 1501821
gesummv 13526500 424289 424289
gramschmidt 5761920600 2881290600 89894231
heat-3d 18073352000 838980000 424800000
jacobi-1d 7992000 500 500
jacobi-2d 10108824000 846296000 423474000
lu 10664665000 2647699541 334167274
ludcmp 5347339000 2650587758 334669903
mvt 32000000 5000750 1000782
nussinov 18266638754 2519781103 162795183
seidel-2d 19960020000 749250000 250000000
symm 3601200000 1210556669 149774518
syr2k 4325041200 1475618682 179713060
syrk 2883841200 706325604 89104475
trisolv 8006000 251500 251500
trmm 2400000000 1125513565 74262967
