KERNEL ACCESS L1_MISS L2_MISS L1_CI_LOW L1_CI_HIGH L2_CI_LOW L2_CI_HIGH
2mm -1 1837596476 211121624 1827639600 1864537596 210740586 211524656
3mm -1 3184706950 340562303 3138775109 3195869356 340447204 340822646
adi -1 1985204154 501382292 1981398885 1990958234 501293050 501437350
atax -1 1627284 500076 1626958 1628371 500052 500094
bicg -1 1032452 500936 1031607 1034720 500845 501127
cholesky -1 169331472 165505046 169279026 169358304 165378705 165554029
correlation -1 2237208980 132783884 2236486067 2237406654 132145306 133397765
covariance -1 2237089820 132416044 2236424238 2237374697 132003830 132651360
deriche -1 48902910 9140906 48897207 48919538 9023550 9527615
doitgen -1 551650135 421532 551576086 551807659 420975 423092
durbin -1 231262 7 211613 267273 1 1657
fdtd-2d -1 599600071 525898354 596438406 600392760 525896503 525900655
floyd-warshall -1 1381162908 1377255373 1381089332 1381363282 1377225920 1377272213
gemm -1 165881927 165726616 165877966 165888844 165725106 165727524
gemver -1 8248372 1550775 8236276 8289941 1546321 1552958
gesummv -1 496992 424300 494983 497178 424251 424529
gramschmidt -1 3663650937 91750660 3658799436 3667175263 91560571 92079732
heat-3d -1 840493834 429313786 840469888 840521293 429171913 429764304
jacobi-1d -1 571 2 550 1050 0 800
jacobi-2d -1 844551786 423015514 844541571 844557559 423012636 423017770
lu -1 3161454240 343099127 3122751149 3193311140 342718597 343785239
ludcmp -1 3168596094 343917164 3138971816 3198576625 343429341 344795041
mvt -1 6811521 1051017 6798619 6837942 1045461 1054925
nussinov -1 2901078436 161816800 2885368760 2939260978 161694100 161949025
seidel-2d -1 748911578 250574308 748903709 748922228 250534255 250629426
symm -1 1393898080 156917138 1392046064 1404193136 156630227 157256116
syr2k -1 1696991464 182735444 1685796467 1708894708 182575914 182827434
syrk -1 731074519 89039538 727662367 735463297 88952335 89080033
trisolv -1 255816 253240 255444 256000 253184 253365
trmm -1 1311479090 74823782 1302072759 1319021851 74732324 74937912
