KERNEL ACCESS L1_MISS L2_MISS L1_CI_LOW L1_CI_HIGH L2_CI_LOW L2_CI_HIGH
2mm -1 1943582 26844 1942854 1944051 26358 43399
3mm -1 2916773 40112 2916365 2917273 39371 40439
adi -1 6617750 2021493 6612487 6630187 1756299 2200748
atax -1 20248 19704 20236 20294 19031 20047
bicg -1 20287 19628 20279 20300 19362 20052
cholesky -1 1363008 6463 1362978 1363349 4945 32961
correlation -1 9033165 8908 9032672 9035086 7470 10952
covariance -1 9025808 8805 9025070 9026348 7289 10608
deriche -1 1551285 298639 1549683 1552531 298272 299290
doitgen -1 51410 13552 49467 55871 12215 13869
durbin -1 124 2 122 133 0 10
fdtd-2d -1 4344191 1268176 4290170 4388473 1138224 1388936
floyd-warshall -1 7765420 1731102 7765194 7767225 993111 2323180
gemm -1 1320479 11693 1319813 1320699 11178 19254
gemver -1 211863 37921 210030 215514 37187 39038
gesummv -1 15824 13998 15814 15835 13463 15092
gramschmidt -1 12072198 11086 12005401 12077392 10842 17050
heat-3d -1 5858470 731336 5858401 5858601 557811 967580
jacobi-1d -1 124 3 118 148 0 9223372036854775806
jacobi-2d -1 3112956 822492 3112905 3112984 469074 1202402
lu -1 8834915 27460 8832997 8835681 16061 43160
ludcmp -1 8662567 42347 8661222 8664217 26596 90866
mvt -1 189888 26360 189815 189955 25599 26917
nussinov -1 1707650 1530 1706764 1709709 1227 21550
seidel-2d -1 2000591 1172446 2000500 2003339 1115410 1248631
symm -1 5739022 33428 5735088 5748834 10643 75636
syr2k -1 1850838 22853 1842648 1854260 10548 54393
syrk -1 722688 2976 722368 723122 2178 10579
trisolv -1 10433 7121 10427 10437 5242 7434
trmm -1 1678163 1576 1675789 1789420 914 5740
