KERNEL ACCESS L1_MISS L2_MISS L1_CI_LOW L1_CI_HIGH L2_CI_LOW L2_CI_HIGH
2mm -1 8130 30 8065 9117 4 723
3mm -1 39302 222 39239 40707 94 295
adi -1 141847 2 141567 142843 1 1792
atax -1 1890 59 1886 1894 10 150
bicg -1 1904 102 1897 1915 14 1876
cholesky -1 22984 12 22954 23024 2 55
correlation -1 37137 20 36843 37404 4 1907
covariance -1 36006 28 35840 36196 6 41
deriche -1 109375 832 109317 109454 198 1442
doitgen -1 2254 148 2022 2371 13 315
durbin -1 50 2 47 62 0 6
fdtd-2d -1 169452 18 168653 169629 0 33
floyd-warshall -1 356994 29 356976 357335 3 58
gemm -1 41708 6 41650 41789 2 106
gemver -1 5689 7 5454 5747 3 1955
gesummv -1 2112 29 2106 2116 10 76
gramschmidt -1 11156 53 10914 11362 1 1669
heat-3d -1 145736 5 145722 145827 0 44
jacobi-1d -1 48 0 45 55 0 9223372036854775806
jacobi-2d -1 160366 5 160362 160376 1 2065
lu -1 64126 5 64112 64147 0 18
ludcmp -1 66146 8 66126 66164 1 32
mvt -1 3658 8 3653 3667 4 15
nussinov -1 51094 4 51060 51112 1 6
seidel-2d -1 72054 6 72044 72276 1 671
symm -1 29512 18 29426 29557 7 433
syr2k -1 40122 22 39967 40317 9 432
syrk -1 5782 8 5749 5890 4 16
trisolv -1 1036 5 1030 1039 1 1010
trmm -1 6017 4 5880 6108 0 211
