KERNEL L1_ACCESS L1_MISS
2mm 6626640000 1818535357
3mm 10802590000 3044129084
adi 11957038000 1745631000
atax 31924000 1628941
bicg 31924000 1496005
cholesky 5339333000 212816002
correlation 4056012600 2018908575
covariance 4049046600 2018779425
deriche 176947200 40919040
doitgen 2160480000 559546308
durbin 13997001 277522
fdtd-2d 8390203000 599700500
floyd-warshall 153664000000 1866820976
gemm 5282200000 214482129
gemver 56006000 6555030
gesummv 13526500 537113
gramschmidt 5761920600 2889727196
heat-3d 18073352000 838980000
jacobi-1d 7992000 500
jacobi-2d 10108824000 843702000
lu 10664665000 2740201465
ludcmp 5347339000 2733639034
mvt 32000000 5048605
nussinov 18282245009 2476211237
seidel-2d 19960020000 749250000
symm 3601200000 1226416878
syr2k 4325041200 1473254880
syrk 2883841200 690935650
trisolv 8006000 342703
trmm 2400000000 1086014997
