KERNEL L1_ACCESS L1_MISS
2mm 6626640000 1864049200
3mm 10802590000 3038263350
adi 11957038000 1757215000
atax 31924000 1998351
bicg 31924000 1498977
cholesky 5339333000 167778427
correlation 4056012600 2012820747
covariance 4049046600 2012820298
deriche 176947200 40919038
doitgen 2160480000 68334003
durbin 13997001 268631
fdtd-2d 8390203000 599700500
floyd-warshall 153664000000 1371999650
gemm 5282200000 165287500
gemver 56006000 6501499
gesummv 13526500 422989
gramschmidt 5761920600 2881290600
heat-3d 18073352000 838980000
jacobi-1d 7992000 500
jacobi-2d 10108824000 843702000
lu 10664665000 2647699541
ludcmp 5347339000 2650587758
mvt 32000000 5000750
nussinov 18282245009 2522723866
seidel-2d 19960020000 749250000
symm 3601200000 1210525169
syr2k 4325041200 1475618501
syrk 2883841200 706268449
trisolv 8006000 251500
trmm 2400000000 1125513565
