KERNEL L1_ACCESS L1_MISS
2mm 6626640000 1813422949
3mm 10802590000 3038263350
adi 11957038000 1744646000
atax 31924000 1621727
bicg 31924000 1498982
cholesky 5339333000 167777136
correlation 4056012600 2012820745
covariance 4049046600 2012820297
deriche 176947200 40919039
doitgen 2160480000 554355377
durbin 13997001 286299
fdtd-2d 8390203000 599700500
floyd-warshall 153664000000 1371999622
gemm 5282200000 165287500
gemver 56006000 6285427
gesummv 13526500 468417
gramschmidt 5761920600 2881290600
heat-3d 18073352000 838980000
jacobi-1d 7992000 500
jacobi-2d 10108824000 843702000
lu 10664665000 2731538313
ludcmp 5347339000 2735131524
mvt 32000000 4784665
nussinov 18282245009 2496499121
seidel-2d 19960020000 749250000
symm 3601200000 1221650046
syr2k 4325041200 1469048891
syrk 2883841200 694605186
trisolv 8006000 251500
trmm 2400000000 1089423394
