KERNEL L1_ACCESS L1_MISS
2mm 6626640000 1811827207
3mm 10802590000 3035331235
adi 11957038000 1757427500
atax 31924000 1617432
bicg 31924000 1490834
cholesky 5339333000 167755970
correlation 4056012600 2011760624
covariance 4049046600 2011757697
deriche 176947200 40919039
doitgen 2160480000 553886843
durbin 13997001 273796
fdtd-2d 8390203000 599700500
floyd-warshall 153664000000 1374894521
gemm 5282200000 165331130
gemver 56006000 6272086
gesummv 13526500 469225
gramschmidt 5761920600 2879196488
heat-3d 18073352000 838980000
jacobi-1d 7992000 500
jacobi-2d 10108824000 843702000
lu 10664665000 2730585092
ludcmp 5347339000 2733953330
mvt 32000000 4779338
nussinov 18282245009 2494384030
seidel-2d 19960020000 749250000
symm 3601200000 1221120322
syr2k 4325041200 1468497072
syrk 2883841200 693853876
trisolv 8006000 251500
trmm 2400000000 1085562534
