KERNEL L1_ACCESS L1_MISS
2mm 6626640000 1811866586
3mm 10802590000 3038229321
adi 11957038000 1739686001
atax 31924000 1841729
bicg 31924000 1326198
cholesky 5339333000 167859715
correlation 4056012600 2012820993
covariance 4049046600 2012820445
deriche 176947200 41195520
doitgen 2160480000 433204913
durbin 13997001 179155
fdtd-2d 8390203000 589008515
floyd-warshall 153664000000 1372302113
gemm 5282200000 165328767
gemver 56006000 6136088
gesummv 13526500 468266
gramschmidt 5761920600 2881290600
heat-3d 18073352000 838980000
jacobi-1d 7992000 500
jacobi-2d 10108824000 768436541
lu 10664665000 2696386945
ludcmp 5347339000 2699640857
mvt 32000000 4777297
nussinov 18282245009 2410884815
seidel-2d 19960020000 677910216
symm 3601200000 1216275763
syr2k 4325041200 1450047653
syrk 2883841200 658539197
trisolv 8006000 251975
trmm 2400000000 1055723469
