kernel,compulsory1,capacity1,conflict1,demand_fetches1,compulsory2,capacity2,conflict2,demand_fetches2
correlation,390302,2012431648,69170,3039729614,390302,125688892,28434,2013911420
covariance,390151,2012430148,0,3037084202,390151,125478586,28436,2013840448
2mm,578752,1812844198,0,4970640004,578752,206831802,0,1813632952
3mm,836251,3037427101,0,8102590009,836251,337314051,0,3038587103
atax,499514,1118985,0,27932100,499514,0,0,2118700
bicg,499752,999208,9,31924000,499752,0,0,1999125
doitgen,423221,67868785,486063377,1622880002,423221,1,0,555195384
mvt,501000,4276441,7640,24004000,501000,500655,18,4785581
gemm,452500,164835000,0,5282200000,452500,164972500,0,165425000
gemver,502002,5776192,7644,48010011,502002,1000708,38,6786589
gesummv,422989,0,74367,13525200,422989,116,0,497682
symm,363002,1177515506,43054214,3601200008,363002,149365891,865,1811885756
syr2k,390602,1464909362,4235158,4325041206,390602,179290846,745,1556720588
syrk,240602,694157011,270997,2883841206,240602,88807844,1746,770247495
trmm,212877,1061955902,27253037,1800600004,212877,73983872,493,1089571818
cholesky,251002,167525640,498,4004001010,251002,164811804,30066,168028142
durbin,752,250375,6153,13997003,752,0,0,386585
gramschmidt,390601,2880900001,0,5040600012,390601,89382377,60065,3601981203
lu,500002,2512968415,218069900,8001997008,500002,333633024,1554,2732038069
ludcmp,500752,2515855882,218776368,5347339014,500752,334135339,1555,2738333868
trisolv,251500,0,844,6005000,251500,242,1,252594
deriche,2211842,38707200,2,141557770,2211842,5529431,3,60825605
floyd-warshall,492574,1372000218,30,87815915352,492574,1372457365,278,2744983127
nussinov,197692,2486895435,9874308,7846852516,197692,161174796,53439,2497164780
adi,499254,1756091249,20243000,10463034025,499254,498592911,5500,2588207505
fdtd-2d,450066,599250439,0,8390203014,450066,524400439,0,824625507
heat-3d,431883,838607122,0,13144315014,431883,424368621,0,1047899007
jacobi-1d,501,0,0,7992001,501,0,0,1001
jacobi-2d,422503,843279502,0,10108824007,422503,421753502,0,1054628007
seidel-2d,500001,748750000,0,19960020001,500001,249500000,0,999000001
