kernel,compulsory1,capacity1,conflict1,demand_fetches1,compulsory2,capacity2,conflict2,demand_fetches2
correlation,390302,2012432847,0,3039729614,390302,125798983,0,2013843449
covariance,390151,2012430149,0,3037084202,390151,125588681,0,2013840449
2mm,578752,1863470452,0,4970640004,578752,206831802,0,1864259206
3mm,836252,3037427102,0,8102590009,836252,337314052,0,3038587106
atax,499514,1498837,0,27932100,499514,0,0,2498552
bicg,499752,999226,0,31924000,499752,0,0,1999143
doitgen,423221,67910784,0,1622880002,423221,1,0,69174006
mvt,501000,4499750,0,24004000,501000,499774,0,5001250
gemm,452500,164835000,0,5282200000,452500,164972500,0,165425000
gemver,502002,5999501,0,48010011,502002,1000073,0,7002254
gesummv,422989,0,0,13525200,422989,0,0,423315
symm,363002,1210157701,0,3601200008,363002,149404220,0,1780753549
syr2k,390602,1475258108,0,4325041206,390602,179325937,0,1562387690
syrk,240602,706085006,0,2883841206,240602,88876078,0,783476379
trmm,212877,1125300692,0,1800600004,212877,74038795,0,1125663571
cholesky,251002,167527429,0,4004001010,251002,164964081,0,168029433
durbin,752,268540,0,13997003,752,0,0,404502
gramschmidt,390602,2880900002,0,5040600012,390602,89503377,0,3601981206
lu,500002,2647199543,0,8001997008,500002,333679879,0,2648199297
ludcmp,500752,2650087011,0,5347339014,500752,334182244,0,2653175560
trisolv,251500,0,0,6005000,251500,242,0,251750
deriche,2211842,38707200,0,141557770,2211842,5529443,0,60825603
floyd-warshall,492575,1372000265,0,87815915336,492575,1372457745,0,2744983169
nussinov,197692,2522526079,0,7846852516,197692,161420365,0,2522921116
adi,499254,1756716749,0,10463034025,499254,498596904,0,2568590005
fdtd-2d,450066,599250439,0,8390203014,450066,524400439,0,824625507
heat-3d,431883,838607122,0,13144315014,431883,424368621,0,1047899007
jacobi-1d,501,0,0,7992001,501,0,0,1001
jacobi-2d,422503,843279502,0,10108824007,422503,421753502,0,1054628007
seidel-2d,500001,748750000,0,19960020001,500001,249500000,0,999000001
