kernel,PAPI_L1_DCM,PAPI_L2_DCM,PAPI_L1_LDM,PAPI_L2_LDM
correlation,2239029482,133321420,2236639646,129002744
correlation,2239136252,133635693,2236670354,129118579
correlation,2239143700,133868381,2236643166,129585697
correlation,2238581232,133677858,2236095705,129355962
correlation,2238873121,132738388,2236445354,128290627
correlation,2238849691,133461036,2236378550,129184803
correlation,2237903043,133132258,2235475349,128946309
correlation,2239045743,133156771,2236589782,128631697
correlation,2239237257,133345362,2236690835,129047908
correlation,2238333764,133460709,2235843316,129212334
covariance,2238348650,132447839,2235904323,128247652
covariance,2239109611,133161310,2236636401,128953882
covariance,2238598369,133230626,2236158292,129126393
covariance,2238897235,133537075,2236411670,129401740
covariance,2238750895,132881413,2236275843,128778515
covariance,2238257184,133302772,2235775481,129288990
covariance,2238876599,133172820,2236390732,129030512
covariance,2239191802,132923322,2236661335,128774981
covariance,2238907751,133375971,2236416294,129180170
covariance,2238276040,132874641,2235850787,128751603
2mm,1843184257,211117762,1699745258,210253845
2mm,1835897108,211139105,1692820686,210268952
2mm,1836331893,211004878,1692911063,210266937
2mm,1840677838,211077587,1697202881,210201904
2mm,1836318646,211163849,1693057006,210397404
2mm,1837549316,210865082,1694223153,210040850
2mm,1837978557,211087895,1694506097,210355272
2mm,1836192335,210926319,1692922990,210205825
2mm,1832106675,210859198,1688788251,210139450
2mm,1841124053,210777251,1697891780,210009727
3mm,3190705444,341369902,2863304442,339183312
3mm,3207993224,341774864,2880385958,339725156
3mm,3204452101,341541303,2876721745,339561760
3mm,3205862267,341267016,2878521062,339469810
3mm,3190235548,341331940,2862778771,339569297
3mm,3200067314,341013065,2872395048,339332536
3mm,3150548449,341183568,2823277552,339616381
3mm,3214739061,341005719,2887446203,339207922
3mm,3181324043,341906713,2855032036,339654958
3mm,3188831325,341569149,2861784271,339412752
atax,1666407,742981,50650,794
atax,1665006,742703,49970,697
atax,1665231,744140,50771,633
atax,1665068,556851,51169,472
atax,1665256,557413,51099,414
atax,1665365,551083,49820,753
atax,1665680,739195,50734,665
atax,1665771,739977,50940,618
atax,1665559,739410,51256,592
atax,1665847,739378,50769,546
bicg,1088442,688029,171086,906
bicg,1088680,501118,171668,624
bicg,1079984,501497,135376,658
bicg,1099199,501278,44109,707
bicg,1100722,501204,44033,639
bicg,1089635,685558,170787,1138
bicg,1073455,685346,135330,1023
bicg,1093056,688615,44338,949
bicg,1090348,689523,43726,894
bicg,1094395,688989,43283,927
doitgen,553065221,422385,524960390,5604
doitgen,553021294,677393,524841058,5876
doitgen,553072189,422329,525094738,5515
doitgen,553306634,668501,525722312,5739
doitgen,553060514,422897,524847704,6001
doitgen,553033140,684832,525043820,6500
doitgen,553288585,422841,525878189,8256
doitgen,553028181,676824,524991723,6126
doitgen,551955495,739278,520076183,6450
doitgen,553122978,422269,525025814,5684
mvt,6839671,1278465,5872284,540708
mvt,6810654,1280104,5843536,543293
mvt,6805073,1278822,5832588,541848
mvt,6811852,1275941,5839806,542417
mvt,6801271,1281865,5829040,544108
mvt,6827734,1275524,5862115,538459
mvt,6834770,1271478,5860414,540411
mvt,6832088,1274995,5862591,538658
mvt,6811567,1089691,5848955,541721
mvt,6810510,1276352,5837344,543166
gemm,166923171,234515169,5971227,481431
gemm,166988459,177772047,6135535,448242
gemm,166913520,237156264,6005688,424371
gemm,167005895,175741726,6220125,460437
gemm,166921647,208448082,6037194,449942
gemm,166940482,175975922,6151605,504077
gemm,166950113,235576400,6022427,500329
gemm,166982248,235743786,6101539,453297
gemm,166995817,227072111,5769970,515005
gemm,166910662,237784311,5996628,455790
gemver,8290285,1982526,5931353,543301
gemver,8323507,1990289,5968267,543393
gemver,8300028,1986623,5938608,543601
gemver,8332214,1801135,6055253,543417
gemver,8319721,1799148,6051066,539978
gemver,8328708,1980079,6051361,540022
gemver,8354393,1981718,6075201,541212
gemver,8325136,1798145,5961481,542828
gemver,8329749,1983992,5965268,540740
gemver,8324331,1983932,6038152,542639
gesummv,506687,454027,36251,805
gesummv,506689,457163,35372,729
gesummv,507192,457265,35339,823
gesummv,507822,453423,36334,797
gesummv,506380,456165,45315,821
gesummv,506383,455437,42688,885
gesummv,503781,616460,40823,1999
gesummv,502897,616151,41088,2025
gesummv,503753,617575,33095,1379
gesummv,502960,617323,31943,1298
symm,1411541037,156564178,1170935836,144848381
symm,1413890453,156110165,1172236154,144259553
symm,1411787772,156283133,1170313880,144779278
symm,1411764045,156551866,1172597839,144848533
symm,1400172830,156628547,1162365414,145400327
symm,1401686401,156784219,1163688548,145393390
symm,1412238904,155969225,1170690633,144307216
symm,1410646076,155954171,1171831454,144487785
symm,1395722171,156268632,1157792357,145249775
symm,1410457439,156179302,1168051092,144778906
syr2k,1704432679,182567974,1623608611,181506327
syr2k,1701108555,182613673,1620255566,181848609
syr2k,1694665070,182439757,1614057664,181788930
syr2k,1690841179,182557435,1610275477,181559362
syr2k,1704832212,182584957,1623751826,181696035
syr2k,1702856468,182945874,1621911201,181881480
syr2k,1712073927,182577377,1630813185,181724431
syr2k,1696528480,182602588,1615838550,181751100
syr2k,1711955050,182536877,1630745668,181583781
syr2k,1710639218,182694331,1629387149,181843278
syrk,729766194,89375603,675176666,88722240
syrk,732284546,89429073,678165090,88902915
syrk,725239531,89423938,670048037,88763635
syrk,728109992,89416688,672577574,88760836
syrk,729542174,89450029,675285856,88759600
syrk,730572659,89227853,676271784,88604248
syrk,728096978,89392615,672785884,88720038
syrk,731558537,89424483,676854032,88716248
syrk,731717941,89507484,677174285,88792246
syrk,731466343,89399511,676871098,88675167
trmm,1304695733,74909635,1304479482,74529034
trmm,1312003704,74846834,1312018704,74459217
trmm,1314195404,74747758,1313983187,74383720
trmm,1319530759,74751453,1319344450,74442409
trmm,1297875295,75005315,1297654400,74492030
trmm,1310363720,74993136,1310153649,74619201
trmm,1305690487,74995090,1305452508,74554621
trmm,1316059243,74873870,1315737777,74423483
trmm,1308339763,74965903,1308124883,74628502
trmm,1305040150,74955945,1304838089,74527546
cholesky,173394976,246270077,6572156,3908385
cholesky,173233296,218753182,6552272,3886793
cholesky,173234801,245639406,6524582,3855212
cholesky,173182812,245519856,6511043,3865772
cholesky,173219647,241546649,6523914,3897734
cholesky,173214144,245412342,6601123,3910875
cholesky,173214815,240764236,6494212,3861637
cholesky,173216262,246332935,6522348,3866321
cholesky,173233299,241330369,6570930,3908831
cholesky,173203150,246795380,6567668,3922023
durbin,234367,0,9596,0
durbin,267857,18446744073709551607,8936,0
durbin,236682,0,12987,0
durbin,249017,2,9013,0
durbin,251284,3,12515,0
durbin,223186,18446744073709551606,10273,0
durbin,225033,9,9665,0
durbin,204113,2,12030,0
durbin,223716,22,12543,0
durbin,222541,18446744073709551610,10292,1
gramschmidt,3667672187,93513730,3423875496,90107124
gramschmidt,3666771087,92777554,3424083328,89734710
gramschmidt,3661587049,91742353,3418780742,89227010
gramschmidt,3664613061,91848316,3416818589,89244556
gramschmidt,3665496479,91494258,3416920081,89226516
gramschmidt,3666931043,92404685,3418707628,89442891
gramschmidt,3663970505,92085146,3416508729,89347949
gramschmidt,3663691782,91757085,3417363304,89088776
gramschmidt,3665214986,91678353,3422107378,89097463
gramschmidt,3663799660,91868076,3409539133,89231334
lu,3142407170,343737313,2956301971,339554998
lu,3144762379,343850769,2958886551,339621787
lu,3205319919,343855442,3012243261,339915660
lu,3172782223,344073800,2982158601,339853662
lu,3137872681,344843180,2952922770,340447340
lu,3161838367,343740946,2972241786,339715095
lu,3187336940,343849445,2994840675,339651500
lu,3178024291,344122908,2986662942,339980527
lu,3149219084,343966462,2963195008,339680646
lu,3164293504,343822856,2974722127,339813816
ludcmp,3142262114,344673162,2966263293,340191973
