kernel,duration
correlation,1565.0519955158234
covariance,1545.313856601715
2mm,1330.3662157058716
3mm,2335.4972376823425
atax,5.380430698394775
bicg,5.533057689666748
doitgen,456.13588070869446
mvt,6.511749982833862
gemm,531.4399900436401
gemver,9.815805673599243
gesummv,3.170431613922119
symm,922.9483952522278
syr2k,1114.4730999469757
syrk,608.6446721553802
trmm,964.010175704956
cholesky,11976.418657541275
durbin,1.1888766288757324
gramschmidt,2220.3603343963623
lu,13740.266409635544
ludcmp,13049.609877347946
trisolv,1.7077198028564453
deriche,48.67728519439697
floyd-warshall,7521.396554946899
nussinov,1675.0233590602875
adi,2219.8823165893555
fdtd-2d,1420.695164680481
heat-3d,2003.7564837932587
jacobi-1d,0.6291317939758301
jacobi-2d,1599.0267324447632
seidel-2d,1853.0144817829132
